Tamanho,Repeticao,Fonte,Algoritmo,Tempo_s,CO2_kg
500,5,349,Dijkstra Classico,0.0392603874206543,2.0314250289538688e-07
500,5,349,Dijkstra Min-Heap,0.011120080947875977,5.972069621237687e-08
500,5,349,NetworkX Referencia,0.006744861602783203,3.770910236760049e-08
500,5,218,Dijkstra Classico,0.02217245101928711,1.1692846004081843e-07
500,5,218,Dijkstra Min-Heap,0.007138967514038086,4.010711143233378e-08
500,5,218,NetworkX Referencia,0.003893613815307617,2.333785893191867e-08
500,5,88,Dijkstra Classico,0.025199174880981445,1.318703602039799e-07
500,5,88,Dijkstra Min-Heap,0.0069010257720947266,3.885436328452402e-08
500,5,88,NetworkX Referencia,0.004258155822753906,2.5509306746129924e-08
500,5,181,Dijkstra Classico,0.023255586624145508,1.2253149868895742e-07
500,5,181,Dijkstra Min-Heap,0.008598089218139648,4.814256082388152e-08
500,5,181,NetworkX Referencia,0.005982160568237305,3.340681592085536e-08
500,6,109,Dijkstra Classico,0.04051017761230469,2.095449402283007e-07
500,6,109,Dijkstra Min-Heap,0.022713661193847656,1.3495967709313347e-07
500,6,109,NetworkX Referencia,0.003904581069946289,2.34697607083626e-08
500,6,465,Dijkstra Classico,0.02221083641052246,1.1703992649207845e-07
500,6,465,Dijkstra Min-Heap,0.007261514663696289,4.071681722594351e-08
500,6,465,NetworkX Referencia,0.004090070724487305,2.4255004803398656e-08
500,6,95,Dijkstra Classico,0.022183656692504883,1.1685944616180896e-07
500,6,95,Dijkstra Min-Heap,0.007413625717163086,4.1138472215323226e-08
500,6,95,NetworkX Referencia,0.006422519683837891,3.565867379943177e-08
500,6,140,Dijkstra Classico,0.04502606391906738,2.356303217989824e-07
500,6,140,Dijkstra Min-Heap,0.012070655822753906,6.480142703392883e-08
500,6,140,NetworkX Referencia,0.006752967834472656,3.753891620781612e-08
500,6,143,Dijkstra Classico,0.041643381118774414,2.1500569952089515e-07
500,6,143,Dijkstra Min-Heap,0.006953239440917969,3.907086875467382e-08
